Model, training_time, testing_time,  train_size, test_size, accuracy, precison, f1, recall
Original model,12.497,1.151,490833,210358,0.795,0.791,0.792,0.795
Baseline model1,10.249,0.882,412447,176763,0.795,0.791,0.792,0.795
Baseline model2,8.265,0.720,354863,152085,0.791,0.787,0.788,0.791
Baseline model3,9.574,0.784,400365,171585,0.811,0.802,0.803,0.811
Baseline model4,10.894,1.019,443198,189942,0.781,0.779,0.780,0.781
shard_0_model_B4_10s, 0.651,0.061,44319,18995,0.760,0.757,0.758,0.760
shard_1_model_B4_10s, 0.650,0.060,44319,18995,0.762,0.758,0.759,0.762
shard_2_model_B4_10s, 0.648,0.060,44319,18995,0.757,0.754,0.755,0.757
shard_3_model_B4_10s, 0.665,0.060,44319,18995,0.761,0.758,0.759,0.761
shard_4_model_B4_10s, 0.630,0.060,44319,18995,0.764,0.761,0.762,0.764
shard_5_model_B4_10s, 0.644,0.061,44319,18995,0.762,0.759,0.760,0.762
shard_6_model_B4_10s, 0.651,0.061,44319,18995,0.763,0.762,0.762,0.763
shard_7_model_B4_10s, 0.664,0.061,44319,18995,0.761,0.760,0.759,0.761
shard_8_model_B4_10s, 0.665,0.061,44319,18995,0.756,0.753,0.754,0.756
shard_9_model_B4_10s, 0.644,0.061,44319,18995,0.764,0.763,0.763,0.764

aggregated_model_B4_10s, 5.536,0.258,44319,18995,0.758,0.757,0.757,0.758

Model, training_time, testing_time,  train_size, test_size, accuracy, precison, f1, recall
Original model,12.620,1.026,490833,210358,0.796,0.792,0.793,0.796
Baseline model1,9.540,0.775,412447,176763,0.796,0.793,0.793,0.796
Baseline model2,7.707,0.642,354863,152085,0.793,0.789,0.790,0.793
Baseline model3,8.924,0.694,400365,171585,0.812,0.803,0.804,0.812
Baseline model4,10.203,0.885,443198,189942,0.782,0.780,0.780,0.782
shard_0_model_B4_15s, 0.456,0.224,29547,12663,0.761,0.760,0.760,0.761
shard_1_model_B4_15s, 0.451,0.226,29547,12663,0.756,0.753,0.754,0.756
shard_2_model_B4_15s, 0.451,0.226,29547,12663,0.766,0.763,0.763,0.766
shard_3_model_B4_15s, 0.455,0.224,29547,12663,0.758,0.757,0.757,0.758
shard_4_model_B4_15s, 0.451,0.223,29547,12663,0.757,0.752,0.754,0.757
shard_5_model_B4_15s, 0.457,0.223,29546,12663,0.759,0.758,0.758,0.759
shard_6_model_B4_15s, 0.451,0.222,29546,12663,0.745,0.743,0.743,0.745
shard_7_model_B4_15s, 0.449,0.225,29546,12663,0.758,0.758,0.757,0.758
shard_8_model_B4_15s, 0.452,0.224,29546,12663,0.754,0.753,0.753,0.754
shard_9_model_B4_15s, 0.447,0.223,29546,12663,0.756,0.755,0.755,0.756
shard_10_model_B4_15s, 0.452,0.229,29546,12663,0.749,0.746,0.747,0.749
shard_11_model_B4_15s, 0.451,0.229,29546,12663,0.742,0.741,0.740,0.742
shard_12_model_B4_15s, 0.445,0.228,29546,12663,0.755,0.752,0.752,0.755
shard_13_model_B4_15s, 0.439,0.224,29546,12663,0.757,0.756,0.756,0.757
