Model, training_time, testing_time,  train_size, test_size, accuracy, precison, f1, recall
Original model,11.858,0.997,490833,210358,0.797,0.793,0.794,0.797
Baseline model1,9.665,0.858,412447,176763,0.794,0.790,0.791,0.794
Baseline model2,7.639,0.630,354863,152085,0.792,0.787,0.789,0.792
shard_0_model, 1.357,0.126,98167,42072,0.781,0.778,0.778,0.781
shard_1_model, 1.347,0.127,98166,42072,0.775,0.771,0.772,0.775
shard_2_model, 1.340,0.127,98166,42072,0.777,0.773,0.774,0.777
shard_3_model, 1.343,0.125,98166,42072,0.775,0.771,0.773,0.775
shard_4_model, 1.363,0.126,98166,42072,0.783,0.780,0.780,0.783

aggregated_model, 9.047,0.571,98167,42072,0.781,0.778,0.779,0.781

