Model,training_time,testing_time,train_size,test_size,accuracy,precison,f1,recall
Original model,11.858,0.997,490833,210358,0.797,0.793,0.794,0.797
,,,,,,,,
Sharding on Original Model:,,,,,,,,
shard_0_model,1.357,0.126,98167,42072,0.781,0.778,0.778,0.781
shard_1_model,1.347,0.127,98166,42072,0.775,0.771,0.772,0.775
Original model/5 shards,1.34,0.127,98166,42072,0.777,0.773,0.774,0.777
shard_3_model,1.343,0.125,98166,42072,0.775,0.771,0.773,0.775
shard_4_model,1.363,0.126,98166,42072,0.783,0.78,0.78,0.783
,,,,,,,,
Shard model on original data,9.047,0.571,98167,42072,0.781,0.778,0.779,0.781
,,,,,,,,
Removing Data from one geo location:,,,,,,,,
Baseline model1 (geo loc based),9.665,0.858,412447,176763,0.794,0.79,0.791,0.794
,,,,,,,,
shard_0_model_B1s,1.266,0.116,82489,35353,0.775,0.772,0.773,0.775
shard_1_model_B1s,1.247,0.115,82489,35353,0.773,0.77,0.77,0.773
shard_2_model_B1s,1.224,0.113,82489,35353,0.776,0.77,0.772,0.776
shard_3_model_B1s,1.216,0.157,82489,35353,0.774,0.771,0.772,0.774
shard_4_model_B1s,1.309,0.13,82489,35353,0.778,0.775,0.775,0.778
,,,,,,,,
Model 5 shard with request for removing geolocation,8.429,0.675,82489,35353,0.774,0.771,0.771,0.774
,,,,,,,,
,,,,,,,,
,,,,,,,,
Removing Data from one age group:,,,,,,,,
Baseline model2 (age based),7.639,0.63,354863,152085,0.792,0.787,0.789,0.792
,,,,,,,,
shard_0_model_B2s,1.063,0.099,70973,30417,0.773,0.769,0.77,0.773
shard_1_model_B2s,1.056,0.097,70973,30417,0.774,0.77,0.771,0.774
shard_2_model_B2s,1.041,0.096,70973,30417,0.777,0.773,0.774,0.777
shard_3_model_B2s,1.038,0.099,70972,30417,0.778,0.773,0.774,0.778
shard_4_model_B2s,1.093,0.096,70972,30417,0.778,0.774,0.775,0.778
,,,,,,,,
Model 5 shard with request for removing age,7.54,0.502,70973,30417,0.779,0.775,0.776,0.779
,,,,,,,,
,,,,,,,,
Removing Data from total_score < 5:,,,,,,,,
